Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10,return,log_return,real_return,cape,cape_z
1991-07-01,380.23,12.1933,18.84,136.2,8.27,854.62,27.41,42.35,18.1,0.005128340691004318,0.005115235537913598,0.003652335263238271,18.1,0.09706357116818033
1991-08-01,389.4,12.2367,18.33,136.6,7.9,872.67,27.42,41.08,18.51,0.024116981826789008,0.023830760157640185,0.021120497999110643,18.51,0.15406197246795875
1991-09-01,387.2,12.28,17.82,137.2,7.65,863.94,27.4,39.76,18.36,-0.005649717514124242,-0.005665737535677451,-0.010003781498160724,18.36,0.13320889882169806
1991-10-01,386.88,12.2533,17.2033,137.4,7.53,861.97,27.3,38.33,18.35,-0.0008264462809917106,-0.0008267879759937813,-0.002280250943352602,18.35,0.13181869391194764
1991-11-01,385.92,12.2267,16.5867,137.8,7.42,857.33,27.16,36.85,18.29,-0.002481389578163684,-0.0024844733276614406,-0.005383017970463033,18.29,0.12347746445344318
1991-12-01,388.51,12.2,15.97,137.9,7.09,862.46,27.08,35.45,18.44,0.0067112354892204795,0.0066888154034066005,0.0059836935602393115,18.44,0.14433053809970386
1992-01-01,416.08,12.24,16.0467,138.1,7.03,922.33,27.13,35.57,19.77,0.07096342436488112,0.06855863996264411,0.06941771212577974,19.77,0.32922779109654576
1992-02-01,412.56,12.28,16.1233,138.6,7.34,911.23,27.12,35.61,19.58,-0.008459911555470101,-0.00849589972211362,-0.012034738108919862,19.58,0.30281389781128243
1992-03-01,407.36,12.32,16.19,139.3,7.54,895.22,27.07,35.58,19.28,-0.012604227263913081,-0.012684334373661343,-0.01756965859332993,19.28,0.26110775051876206
1992-04-01,407.41,12.32,16.4833,139.5,7.48,894.05,27.04,36.17,19.3,0.00012274155538105624,0.00012273402325213567,-0.0013069413105158967,19.3,0.2638881603382634
1992-05-01,414.81,12.32,16.7667,139.7,7.39,908.98,27.0,36.74,19.66,0.018163520777594977,0.018000534676342106,0.016699289748895563,19.66,0.31393553708928823
1992-06-01,408.27,12.32,17.05,140.2,7.26,891.46,26.9,37.23,19.32,-0.015766254429739,-0.015891863828300323,-0.019274351470879414,19.32,0.2666685701577647
1992-07-01,415.05,12.3433,17.38,140.5,6.84,904.33,26.89,37.87,19.62,0.016606657359100607,0.016470274660708384,0.014436991003522248,19.62,0.3083747174502856
1992-08-01,417.93,12.3667,17.71,140.9,6.59,908.02,26.87,38.48,19.72,0.006938923021322818,0.006914959485198935,0.0040803688918866765,19.72,0.32227676654779225
1992-09-01,418.48,12.4,18.04,141.3,6.42,906.64,26.86,39.08,19.71,0.0013160098581102009,0.0013151446761119345,-0.0015197903129886559,19.71,0.3208865616380418
1992-10-01,412.5,12.3867,18.39,141.8,6.59,890.53,26.74,39.7,19.37,-0.01428981074364366,-0.014392893287619835,-0.017768904967793153,19.37,0.27361959470651825
1992-11-01,422.84,12.3833,18.74,142.0,6.87,911.57,26.7,40.4,19.83,0.02506666666666657,0.02475765112572681,0.023626379796301222,19.83,0.3375690205550498
1992-12-01,435.64,12.39,19.09,141.9,6.77,939.83,26.73,41.18,20.45,0.03027149749314173,0.029822357307023317,0.031001459021249067,20.45,0.42376172495959286
1993-01-01,435.23,12.4133,19.34,142.6,6.6,934.33,26.65,41.52,20.32,-0.0009411440639058855,-0.000941587218050266,-0.005852122192311349,20.32,0.405689061132834
1993-02-01,441.7,12.4467,19.59,143.1,6.26,944.91,26.63,41.91,20.55,0.014865703191415891,0.014756291613045924,0.011323622274785006,20.55,0.4376637740571
1993-03-01,450.16,12.48,19.84,143.6,5.98,959.65,26.6,42.3,20.86,0.019153271451211262,0.01897215652254225,0.01559936925209815,20.86,0.4807601262593713
1993-04-01,443.08,12.4933,19.67,144.0,5.97,941.94,26.56,41.82,20.46,-0.015727741247556493,-0.015852734476291097,-0.01845464492262794,20.46,0.42515192986934375
1993-05-01,445.25,12.5067,19.5,144.2,6.04,945.24,26.55,41.4,20.52,0.004897535433781686,0.0048855815210391285,0.0035034078603732866,20.52,0.43349315932784777
1993-06-01,448.06,12.52,19.33,144.4,5.96,949.89,26.54,40.98,20.61,0.00631106120157221,0.00629122984901187,0.0049193855528755215,20.61,0.44600500351560396
1993-07-01,447.29,12.52,19.69,144.4,5.81,948.25,26.54,41.74,20.56,-0.001718519841092725,-0.0017199981902722428,-0.0017265157018181432,20.56,0.4390539789668504
1993-08-01,454.13,12.52,20.05,144.8,5.68,960.09,26.47,42.39,20.81,0.01529209237854623,0.01517634683666369,0.012486158713419515,20.81,0.47380910171061774
1993-09-01,459.24,12.52,20.41,145.1,5.36,968.89,26.41,43.06,20.99,0.01125228458811356,0.011189448560436688,0.009165807372225387,20.99,0.4988327900861302
1993-10-01,463.9,12.54,20.9,145.7,5.33,974.69,26.35,43.91,21.11,0.010147199721278533,0.010096062532086059,0.005986231667165498,21.11,0.5155152490031386
1993-11-01,462.89,12.56,21.39,145.8,5.72,971.9,26.37,44.91,21.04,-0.002177193360638041,-0.0021795668918187516,-0.002862448573392684,21.04,0.5057838146348838
1993-12-01,465.95,12.58,21.89,145.8,5.77,978.33,26.41,45.96,21.16,0.00661064183715343,0.006588887365786,0.006615906986315423,21.16,0.5224662735518921
1994-01-01,472.99,12.6233,22.1567,146.2,5.75,990.39,26.43,46.39,21.41,0.015108917265800992,0.014995914387731624,0.012327128882892113,21.41,0.5572213962956595
1994-02-01,471.58,12.6667,22.4333,146.7,5.97,984.07,26.43,46.81,21.26,-0.002981035539863508,-0.002985487676494536,-0.0063813245287209774,21.26,0.5363683226493993
1994-03-01,463.81,12.71,22.71,147.2,6.48,964.57,26.43,47.23,20.83,-0.016476525722040725,-0.016613773336225712,-0.019815663519871518,20.83,0.4765895115301191
1994-04-01,447.23,12.7533,23.54,147.4,6.97,928.83,26.49,48.89,20.06,-0.03574739656324788,-0.03640198193711086,-0.037052779995231044,20.06,0.36954373347931574
1994-05-01,450.9,12.7967,24.37,147.5,7.18,935.82,26.56,50.58,20.2,0.008206068465890004,0.008172581757473374,0.00752559671845221,20.2,0.38900660221582556
1994-06-01,454.83,12.84,25.2,148.0,7.1,940.78,26.56,52.12,20.29,0.008715901530272907,0.008678137334561242,0.005300164561560905,20.29,0.40151844640358175
1994-07-01,451.4,12.87,25.91,148.4,7.3,931.17,26.55,53.45,20.07,-0.007541279159246295,-0.0075698583781642625,-0.010214928038436155,20.07,0.3709339383890667
1994-08-01,464.24,12.9,26.62,149.0,7.24,953.8,26.5,54.69,20.54,0.02844483828090394,0.02804779549891734,0.024302758894723775,20.54,0.4362735691473491
1994-09-01,466.96,12.92,27.33,149.4,7.46,956.82,26.47,56.0,20.58,0.005859038428398966,0.00584194101318225,0.0031662822394633583,20.58,0.44183438878635173
1994-10-01,463.81,13.0133,28.42,149.5,7.74,949.73,26.65,58.19,20.4,-0.006745759808120533,-0.006768615288859081,-0.0074099621663427095,20.4,0.4168107004108393
1994-11-01,461.01,13.0967,29.51,149.7,7.96,942.74,26.78,60.35,20.21,-0.006036954787520754,-0.006055250871325413,-0.007359986522485373,20.21,0.39039680712557645
1994-12-01,455.19,13.17,30.6,149.7,7.81,930.84,26.93,62.58,19.91,-0.012624455000976087,-0.012704820530091254,-0.012622780406050471,19.91,0.3486906598330556
1995-01-01,465.25,13.18,31.25,150.3,7.78,947.61,26.84,63.65,20.22,0.022100661262330012,0.02185998131710054,0.01801598556142836,20.22,0.39178701203532684
1995-02-01,481.92,13.18,31.9,150.9,7.47,977.66,26.74,64.71,20.8,0.03583019881784,0.03520322964911404,0.03171135804814207,20.8,0.4724188968008673
1995-03-01,493.15,13.17,32.55,151.4,7.2,997.14,26.63,65.82,21.15,0.023302622841965492,0.023035262228528808,0.01992512734488483,21.15,0.5210760686421413
1995-04-01,507.91,13.2433,33.1767,151.9,7.06,1023.6,26.69,66.86,21.64,0.029930041569502297,0.029490879128513114,0.026535892652987503,21.64,0.5891961092199255
1995-05-01,523.81,13.3067,33.8033,152.2,6.63,1053.57,26.76,67.99,22.2,0.03130475871709537,0.030824756619064253,0.029279015240328166,22.2,0.6670475841659641
1995-06-01,539.35,13.36,34.43,152.5,6.17,1082.69,26.82,69.11,22.72,0.029667245757049487,0.0292356876738582,0.027639359510996053,22.72,0.7393382394730001
1995-07-01,557.37,13.44,34.68,152.5,6.28,1118.86,26.98,69.62,23.38,0.03341058681746545,0.03286458146475013,0.03340753124162954,23.38,0.8310917635165458
1995-08-01,559.11,13.51,34.93,152.9,6.49,1119.42,27.05,69.93,23.28,0.0031218041875236135,0.0031169414744951496,0.0005005094471159932,23.28,0.8171897144190392
1995-09-01,578.77,13.58,35.18,153.2,6.2,1156.51,27.14,70.3,23.95,0.035163026953551224,0.03455892827809404,0.03313322970824162,23.95,0.9103334433723353
1995-10-01,582.92,13.65,34.7733,153.7,6.04,1161.01,27.19,69.26,23.93,0.007170378561431878,0.007144793626718382,0.00389101693889371,23.93,0.907553033552834
1995-11-01,595.53,13.72,34.3667,153.6,5.93,1186.9,27.34,68.49,24.35,0.021632471008028675,0.021401809694691742,0.022299549530150564,24.35,0.9659416397623634
1995-12-01,614.57,13.79,33.96,153.5,5.71,1225.65,27.5,67.73,25.03,0.03197152116602031,0.03147107090924006,0.03264807481674947,25.03,1.0604755736254106
1996-01-01,614.42,13.8933,33.9867,154.4,5.65,1218.21,27.55,67.39,24.76,-0.00024407309175533687,-0.0002441028824398117,-0.006070248439603465,24.76,1.0229400410621419
1996-02-01,649.54,13.9967,34.0133,154.9,5.81,1283.68,27.66,67.22,25.98,0.05715959766934664,0.055585686662594114,0.05374278654747533,25.98,1.1925450400517261
1996-03-01,647.07,14.1,34.04,155.7,6.27,1272.23,27.72,66.93,25.63,-0.0038026911352647685,-0.0038099397471897944,-0.008919668453197138,25.63,1.1438878682104519
1996-04-01,647.17,14.1567,34.33,156.3,6.51,1267.54,27.73,67.24,25.42,0.00015454278516990883,0.00015453084466354738,-0.0036864403449062833,25.42,1.1146935651056875
1996-05-01,661.23,14.2133,34.62,156.6,6.74,1292.6,27.78,67.68,25.81,0.021725358097563374,0.02149272582134909,0.019770579232213592,25.81,1.1689115565859642
1996-06-01,668.5,14.27,34.91,156.7,6.91,1305.97,27.88,68.2,25.97,0.010994661464240885,0.010934659573592853,0.01034349373356025,25.97,1.1911548351419752
1996-07-01,644.07,14.4,35.2733,157.0,6.87,1255.84,28.08,68.78,24.86,-0.036544502617800956,-0.03722898069241509,-0.03838526152974431,24.86,1.0368420901596485
1996-08-01,662.68,14.53,35.6367,157.3,6.64,1289.67,28.28,69.35,25.41,0.02889437483503321,0.02848480322075364,0.026938144986622614,25.41,1.1133033601959366
1996-09-01,674.88,14.66,36.0,157.8,6.83,1309.25,28.44,69.84,25.68,0.01841009235226654,0.01824267822007286,0.01518217838671898,25.68,1.1508388927592053
1996-10-01,701.46,14.74,36.91,158.3,6.53,1356.51,28.5,71.38,26.48,0.03938477951635844,0.038628979956373044,0.0360970021004392,26.48,1.2620552855392608
1996-11-01,735.67,14.82,37.82,158.6,6.2,1419.98,28.61,73.0,27.59,0.04876970889288046,0.04761777136918699,0.04678918695770773,27.59,1.4163680305215878
1996-12-01,743.25,14.9,38.73,158.6,6.3,1434.61,28.76,74.76,27.72,0.010303532834015305,0.01025081326223809,0.0103029620135493,27.72,1.4344406943483465
1997-01-01,766.22,14.9533,39.2333,159.1,6.58,1474.3,28.77,75.49,28.33,0.030904809956273205,0.030436872892877886,0.027666055583050575,28.33,1.5192431938431388
1997-02-01,798.39,15.0067,39.7367,159.6,6.42,1531.39,28.78,76.22,29.27,0.0419853305839053,0.041127865097629446,0.03872346198195764,29.27,1.649922455359704
1997-03-01,792.16,15.06,40.24,160.0,6.69,1515.64,28.81,76.99,28.8,-0.007803203947945314,-0.00783380825560176,-0.010284773963523342,28.8,1.5845828246014215
1997-04-01,763.93,15.0933,40.3433,160.2,6.89,1459.8,28.84,77.09,27.59,-0.035636740052514715,-0.03628722968088827,-0.03684252197091664,27.59,1.4163680305215878
1997-05-01,833.09,15.1267,40.4467,160.1,6.71,1592.95,28.92,77.34,29.93,0.09053185501289396,0.086665517615657,0.09121112481161808,29.93,1.7416759794032497
1997-06-01,876.29,15.16,40.55,160.3,6.49,1673.47,28.95,77.44,31.26,0.05185514170137662,0.05055540683178439,0.05054772591732326,31.26,1.9265732324000922
1997-07-01,925.29,15.2167,40.58,160.5,6.22,1764.84,29.02,77.4,32.77,0.055917561537847105,0.054410115511180024,0.054599126366173145,32.77,2.136494173772447
1997-08-01,927.24,15.2733,40.61,160.8,6.3,1765.26,29.08,77.31,32.59,0.0021074473948707872,0.0021052298426464944,0.0002379819133746519,32.59,2.111470485396935
1997-09-01,937.02,15.33,40.64,161.2,6.21,1779.45,29.11,77.18,32.67,0.010547431085802916,0.010492194994316861,0.00803847591856166,32.67,2.1225921246749397
1997-10-01,951.16,15.3867,40.3333,161.6,6.03,1801.83,29.15,76.41,32.9,0.015090392947855857,0.014977665619887226,0.012576919834780265,32.9,2.1545668375992055
1997-11-01,938.92,15.4433,40.0267,161.5,5.88,1779.75,29.27,75.87,32.34,-0.012868497413684343,-0.012952013787010053,-0.01225420822164125,32.34,2.076715362653167
1997-12-01,962.37,15.5,39.72,161.3,5.81,1826.46,29.42,75.38,33.03,0.02497550377028923,0.02466871354409772,0.026245259165613266,33.03,2.172639501425965
1998-01-01,963.36,15.55,39.66,161.6,5.54,1824.94,29.46,75.13,32.86,0.0010287103712709467,0.0010281816113533182,-0.0008322109435738856,32.86,2.1490060179602026
1998-02-01,1023.74,15.6,39.6,161.9,5.57,1935.73,29.5,74.88,34.71,0.0626764657033716,0.06079069339366594,0.06070884522230857,34.71,2.406193926264081
1998-03-01,1076.83,15.64,39.54,162.2,5.65,2032.35,29.52,74.63,36.3,0.05185887041631654,0.05055895171946201,0.04991398593812146,36.3,2.627236506914441
1998-04-01,1112.2,15.75,39.35,162.5,5.64,2095.23,29.67,74.13,37.28,0.03284641029688995,0.032318495924197777,0.030939552734519316,37.28,2.7634765880700094
1998-05-01,1108.42,15.85,39.16,162.8,5.65,2084.26,29.8,73.64,36.96,-0.003398669304081947,-0.0034044579000047648,-0.005235702047030499,36.96,2.718990030957987
1998-06-01,1108.39,15.95,38.97,163.0,5.5,2081.65,29.96,73.19,36.8,-2.7065552768767986e-05,-2.7065919047331022e-05,-0.0012522430023126363,36.8,2.6967467524019755
1998-07-01,1156.58,16.0167,38.6767,163.2,5.46,2169.49,30.04,72.55,38.26,0.04347747633955534,0.04255886257725372,0.04219729541469497,38.26,2.899716669225577
1998-08-01,1074.62,16.0833,38.3833,163.4,5.34,2013.28,30.13,71.91,35.42,-0.07086409932732718,-0.0735002638137372,-0.07200309750217782,35.42,2.5048984748563803
1998-09-01,1020.64,16.14,38.09,163.6,4.81,1909.82,30.2,71.27,33.53,-0.05023170981370151,-0.05153722920428283,-0.051388778510689015,33.53,2.2421497469134994
1998-10-01,1032.47,16.1667,37.9633,164.0,4.53,1927.24,30.18,70.86,33.77,0.011590766577833644,0.011524108229345131,0.009121278445089143,33.77,2.2755146647475164
